Phrase	NPQ	IDF	PMI	CMI
最 	 27.7731209249123 	 -0.03278982282299084 	 1000 	 -3.186352633162641
由 	 27.161779010967532 	 -0.03278982282299084 	 1000 	 -2.904731967697837
或 	 26.752260126532907 	 -0.03278982282299084 	 1000 	 -4.914789358264684
只 	 26.63337644050638 	 -0.03278982282299084 	 1000 	 -5.0745368731172515
等 	 26.574896163186253 	 -0.03278982282299084 	 1000 	 -4.923239872270645
没 	 26.245393134009614 	 -0.03278982282299084 	 1000 	 -2.0273472299990725
2 	 25.346511123548883 	 -0.03278982282299084 	 1000 	 -3.4562703503901506
李立德（台北通讯员）台湾 	 25.205096853019395 	 1.0033021088637848 	 6.976273772327863 	 -1000
nternational 	 24.872337213643043 	 1.0986122886681098 	 7.346428150556115 	 -1000
更 	 24.86342188256127 	 -0.03278982282299084 	 1000 	 -3.939049022558806
被 	 24.804406189025286 	 -0.03278982282299084 	 1000 	 -4.3269675969742
外 	 24.703183221150308 	 -0.03278982282299084 	 1000 	 -3.3601251055738315
心 	 24.570081076936194 	 -0.03278982282299084 	 1000 	 -3.9284856634654215
作 	 24.350987217474447 	 -0.03278982282299084 	 1000 	 -2.160367496726505
3 	 24.137088574210566 	 -0.03278982282299084 	 1000 	 -3.8064352096628444
名 	 23.63321345214154 	 -0.03278982282299084 	 1000 	 -4.302837173556988
签订双边自由贸易协定 	 23.52225582500044 	 1.0986122886681098 	 7.055790561540568 	 -3.5242995787961386
现 	 23.045998226421077 	 -0.03278982282299084 	 1000 	 -3.100432455341177
些 	 22.906008014140177 	 -0.03278982282299084 	 1000 	 -3.329886425198945
向 	 22.520298321141475 	 -0.03278982282299084 	 1000 	 -4.001928304551761
者 	 22.38843061912958 	 -0.03278982282299084 	 1000 	 -2.1051855523771486
新加坡航空公司SQ006 	 22.355962926671 	 1.2039728043259361 	 5.987256375463048 	 -1000
本 	 22.21289242286372 	 -0.03278982282299084 	 1000 	 -3.0187011035909563
起 	 22.085910406211323 	 -0.03278982282299084 	 1000 	 -3.3812360787623614
此 	 21.898577282113603 	 -0.03278982282299084 	 1000 	 -2.2279064794341914
周锐鹏（北京特派员）中国 	 21.790271539731172 	 1.455287232606842 	 5.388772004201505 	 -1000
5 	 21.74398391444392 	 -0.03278982282299084 	 1000 	 -4.182192491566889
次 	 21.184161052831907 	 -0.03278982282299084 	 1000 	 -4.0899687510281195
把 	 21.183141694057635 	 -0.03278982282299084 	 1000 	 -5.359585238817485
学 	 21.101031523652313 	 -0.03278982282299084 	 1000 	 -3.0687252873518953
它 	 20.690072493913643 	 -0.03278982282299084 	 1000 	 -4.842603791062796
飞航安全委员会执行长戎凯 	 20.571659846326906 	 1.3217558399823195 	 7.905270244062227 	 -1000
用 	 19.880318429327385 	 -0.03278982282299084 	 1000 	 -4.0237682693758785
自 	 19.849908894853073 	 -0.03278982282299084 	 1000 	 -1.2646634761695965
使 	 19.8328845202634 	 -0.03278982282299084 	 1000 	 -3.8295964128608286
里 	 19.76102011187224 	 -0.03278982282299084 	 1000 	 -1.9989442315269954
天 	 19.619649594692657 	 -0.03278982282299084 	 1000 	 -1.6918852551307009
去 	 19.556499531375866 	 -0.03278982282299084 	 1000 	 -2.962576178355811
好 	 19.343557653210254 	 -0.03278982282299084 	 1000 	 -3.5618930751630895
让 	 18.87186022349099 	 -0.03278982282299084 	 1000 	 -4.4709242524257
看 	 18.677463154000634 	 -0.03278982282299084 	 1000 	 -4.640502736279494
很 	 18.341705965470503 	 -0.03278982282299084 	 1000 	 -4.457770454164815
却 	 18.26761101929715 	 -0.03278982282299084 	 1000 	 -6.103794575523049
才 	 18.257731229409252 	 -0.03278982282299084 	 1000 	 -3.4446824936018943
长 	 18.089366354407897 	 -0.03278982282299084 	 1000 	 -3.5807188925209816
间 	 18.002302316878062 	 -0.03278982282299084 	 1000 	 -3.1629215305734726
员 	 17.962163712945372 	 -0.03278982282299084 	 1000 	 -2.4510509299237278
面 	 17.82396707651722 	 -0.03278982282299084 	 1000 	 -2.317563693020718
4 	 17.722646147592272 	 -0.03278982282299084 	 1000 	 -5.034485661592713
三 	 17.63782905134615 	 -0.03278982282299084 	 1000 	 -3.6371852497598494
小 	 17.61988377313645 	 -0.03278982282299084 	 1000 	 -1.1746836699174992
则 	 17.586536032250706 	 -0.03278982282299084 	 1000 	 -2.8565437689539133
场 	 17.427964977358403 	 -0.03278982282299084 	 1000 	 -2.9658631092084735
