Phrase	NPQ	IDF	PMI	CMI
亚太经合论坛峰会 	 3.9689154124715436 	 1.0033021088637848 	 5.769992378927367 	 -1000
同 	 3.962227524573403 	 -0.03278982282299084 	 1000 	 -3.8681015101984255
美 	 3.9519186303140623 	 -0.03278982282299084 	 1000 	 -2.19899385915332
亚太经济合作论坛 	 3.948429476307243 	 1.0033021088637848 	 6.917792606972299 	 -1000
英格兰超级足球联赛 	 3.948031409546499 	 0.9162907318741551 	 6.974087089872983 	 -1000
马来西亚首相马哈迪 	 3.901884669328212 	 0.8362480242006185 	 7.286350026612832 	 -1000
3 	 3.8969903693357395 	 -0.03278982282299084 	 1000 	 -3.8064352096628444
5 	 3.862285657210814 	 -0.03278982282299084 	 1000 	 -4.182192491566889
大众教育家庭委员会 	 3.860220881012443 	 2.70805020110221 	 5.769992378927367 	 -1000
得 	 3.8552706713076943 	 -0.03278982282299084 	 1000 	 -2.636588788063503
去 	 3.85226502789882 	 -0.03278982282299084 	 1000 	 -2.962576178355811
性 	 3.820924441499276 	 -0.03278982282299084 	 1000 	 -3.631188185246726
用 	 3.7933945188610676 	 -0.03278982282299084 	 1000 	 -4.0237682693758785
则 	 3.7904441694906437 	 -0.03278982282299084 	 1000 	 -2.8565437689539133
李立德（台北通讯员） 	 3.7867317195060988 	 0.4567584024957149 	 6.866412885896133 	 -5.608810200718221
当 	 3.7678256834827404 	 -0.03278982282299084 	 1000 	 -3.654768960836672
你 	 3.7624356457822263 	 -0.03278982282299084 	 1000 	 -6.223468726854389
高 	 3.7623337186207806 	 -0.03278982282299084 	 1000 	 -3.3115309680284732
佛罗里达州最高法院 	 3.7486783717726957 	 1.0986122886681098 	 7.03137101134665 	 -1000
三 	 3.7451691692434244 	 -0.03278982282299084 	 1000 	 -3.6371852497598494
长 	 3.742365883643646 	 -0.03278982282299084 	 1000 	 -3.5807188925209816
者 	 3.738323569011069 	 -0.03278982282299084 	 1000 	 -2.1051855523771486
起 	 3.7284231317691674 	 -0.03278982282299084 	 1000 	 -3.3812360787623614
里 	 3.7138833268498708 	 -0.03278982282299084 	 1000 	 -1.9989442315269954
1 	 3.6968006445719306 	 -0.03278982282299084 	 1000 	 -2.7528078912333136
其 	 3.693831731257692 	 -0.03278982282299084 	 1000 	 -2.9087653422062667
队 	 3.6660371408155092 	 -0.03278982282299084 	 1000 	 -3.515472041076631
它 	 3.6647038691874934 	 -0.03278982282299084 	 1000 	 -4.842603791062796
让 	 3.66409937712501 	 -0.03278982282299084 	 1000 	 -4.4709242524257
内阁资政李光耀 	 3.65267101003027 	 0.6286086594223741 	 7.380619515304394 	 -1000
内 	 3.6521398963783214 	 -0.03278982282299084 	 1000 	 -3.049150170504549
过 	 3.638478601170802 	 -0.03278982282299084 	 1000 	 -3.0174815461683377
双边自由贸易协定的谈判 	 3.6372556099141393 	 1.791759469228055 	 8.246704500478398 	 -1000
心 	 3.599083591572812 	 -0.03278982282299084 	 1000 	 -3.9284856634654215
好 	 3.5919585628722936 	 -0.03278982282299084 	 1000 	 -3.5618930751630895
共和党候选人小布什 	 3.5909891223146593 	 0.8362480242006185 	 7.481160744526272 	 -1000
傅丽云（台北报道） 	 3.5909891223146593 	 1.3217558399823195 	 6.866412885896133 	 -1000
家 	 3.580167552637163 	 -0.03278982282299084 	 1000 	 -2.839876583421411
个 	 3.5622506841159165 	 -0.03278982282299084 	 1000 	 -2.9935675441258125
（本报特约） 	 3.560641185239172 	 0.4054651081081644 	 6.830045241725258 	 -1000
最 	 3.555844189261632 	 -0.03278982282299084 	 1000 	 -3.186352633162641
成 	 3.551052553307435 	 -0.03278982282299084 	 1000 	 -3.1960935782198123
